t,throttle,speed_kmh
0.0,0.5,0.004345435928599297
0.05,0.5,0.013060855865519147
0.1,0.5,0.017858516424921166
0.15000000000000002,0.5,0.0194249264896101
0.2,0.5,0.018562292866430963
0.25,0.5,0.016087760590043944
0.30000000000000004,0.5,0.012727179843977577
0.35000000000000003,0.5,0.009084834717332346
0.4,0.5,7.971985246334064e-05
0.45,0.5,0.0006446914632709321
0.5,0.5,0.00097685622757147
0.55,0.5,0.0011106833699681437
0.6000000000000001,0.5,0.001094135292987915
0.65,0.5,0.0009703673774395725
0.7000000000000001,0.5,0.0007869987345408102
0.75,0.5,0.000578739139987833
0.8,0.5,9.372711304932612e-06
0.8500000000000001,0.5,3.563690323483579e-05
0.9,0.5,0.005947496204844308
0.9500000000000001,0.5,0.5811292417094892
1.0,0.5,0.4018097133962111
1.05,0.5,0.6280588337972861
1.1,0.5,0.4291848363010947
1.1500000000000001,0.5,0.6275322447786565
1.2000000000000002,0.5,0.6044923572405432
1.25,0.5,0.8127905705380104
1.3,0.5,1.2903296162441855
1.35,0.5,1.2657782016491588
1.4000000000000001,0.5,1.3339122174261377
1.4500000000000002,0.5,1.2775034410122055
1.5,0.5,1.7422318374419932
1.55,0.5,1.7949958410760973
1.6,0.5,1.7784775278195006
1.6500000000000001,0.5,1.7227090486740535
1.7000000000000002,0.5,1.7030775289324493
1.75,0.5,1.6832969812340168
1.8,0.5,1.6936494828802384
1.85,0.5,1.636444870688699
1.9000000000000001,0.5,1.6169483306653762
1.9500000000000002,0.5,1.5835088794983352
2.0,0.5,1.5887805895243217
2.0500000000000003,0.5,1.550232445663763
2.1,0.5,1.6388497537723095
2.15,0.5,1.7908827651170833
2.2,0.5,1.901350302950137
2.25,0.5,1.8320806944943524
2.3000000000000003,0.5,1.8228747219659982
2.35,0.5,1.7846261374202161
2.4000000000000004,0.5,1.7809994355949612
2.45,0.5,1.7249171896583284
2.5,0.5,1.7508299488608714
2.5500000000000003,0.5,1.7014779595851384
2.6,0.5,1.6677064466502713
2.6500000000000004,0.5,2.0067658006536186
2.7,0.5,2.0953343105122078
2.75,0.5,2.185725031427821
2.8000000000000003,0.5,2.116169520149734
2.85,0.5,2.1373121652663465
2.9000000000000004,0.5,2.1328948085003336
2.95,0.5,2.155245196811476
3.0,0.5,2.144281501828643
3.0500000000000003,0.5,2.198396884837569
3.1,0.5,2.2147236337487635
3.1500000000000004,0.5,2.214475085606911
3.2,0.5,2.2360588044871736
3.25,0.5,2.273531814577031
3.3000000000000003,0.5,2.3117038910602425
3.35,0.5,2.3745228749865954
3.4000000000000004,0.5,2.440495410571577
3.45,0.5,2.5626764060462537
3.5,0.5,2.7012010521110006
3.5500000000000003,0.5,2.879602970966708
3.6,0.5,3.3784567318714096
3.6500000000000004,0.5,3.9310447677388343
3.7,0.5,4.55127044504612
3.75,0.5,4.580583790189363
3.8000000000000003,0.5,4.609344434861587
3.85,0.5,4.707008512767542
3.9000000000000004,0.5,4.8265577042352135
3.95,0.5,5.010847661343617
4.0,0.5,5.197601861474077
4.05,0.5,5.437688262896009
4.1000000000000005,0.5,5.664621078375093
4.15,0.5,5.934435695483058
4.2,0.5,6.191780350270142
4.25,0.5,6.487158999433203
4.3,0.5,6.779268545232791
4.3500000000000005,0.5,7.461489152909874
4.4,0.5,7.676321466729945
4.45,0.5,7.910103320464687
4.5,0.5,8.169673823520283
4.55,0.5,8.450523975465616
4.6000000000000005,0.5,8.747568243636577
4.65,0.5,9.058265016948509
4.7,0.5,9.379459933485434
4.75,0.5,9.709889506945453
4.800000000000001,0.5,10.047545292606568
4.8500000000000005,0.5,10.391902751602366
4.9,0.5,10.741617876905298
4.95,0.5,11.09652911928542
5.0,0.5,11.45567365116878
5.050000000000001,0.5,11.81878944747227
5.1000000000000005,0.5,12.183390243170201
5.15,0.5,12.547694761442566
5.2,0.5,12.909829597856616
5.25,0.5,13.26894903763548
5.300000000000001,0.5,13.623934973776436
5.3500000000000005,0.5,13.974451556581748
5.4,0.5,14.319861295749254
5.45,0.5,14.660107335933382
5.5,0.5,14.994849111384399
5.550000000000001,0.5,15.324192897517886
5.6000000000000005,0.5,15.64796716280008
5.65,0.5,15.966367500605259
5.7,0.5,16.27933904983922
5.75,0.5,16.587110082114034
5.800000000000001,0.5,16.889702917944355
5.8500000000000005,0.5,17.187327017545925
5.9,0.5,17.47913086271523
5.95,0.5,17.76385113701283
6.0,0.5,18.040588163782278
6.050000000000001,0.5,18.225396740927064
6.1000000000000005,0.5,18.108256987189577
6.15,0.5,18.062703778664982
6.2,0.5,18.060128343517437
6.25,0.5,18.30907551008456
6.300000000000001,0.5,17.96507829541733
6.3500000000000005,0.5,17.497196414731388
6.4,0.5,18.995244976766784
6.45,0.5,19.675936680169208
6.5,0.5,19.71442866493941
6.550000000000001,0.5,19.886887417985797
6.6000000000000005,0.5,19.971101569582032
6.65,0.5,20.191210221190325
6.7,0.5,20.29550702993697
6.75,0.5,20.54779019898858
6.800000000000001,0.5,20.667188045996372
6.8500000000000005,0.5,20.735198849625487
6.9,0.5,20.6398920631692
6.95,0.5,22.174183247837078
7.0,0.5,22.927533968907266
7.050000000000001,0.5,23.513819712848665
7.1000000000000005,0.5,24.031174523960054
7.15,0.5,24.4303004865075
7.2,0.5,24.699708326232226
7.25,0.5,25.061968143439252
7.300000000000001,0.5,25.2887334332468
7.3500000000000005,0.5,25.62172490195083
7.4,0.5,25.81507447947736
7.45,0.5,26.13095812869305
7.5,0.5,26.307160415284365
7.550000000000001,0.5,26.611038049343993
7.6000000000000005,0.5,26.77904864093869
7.65,0.5,27.0747774916445
7.7,0.5,27.23926044156173
7.75,0.5,27.529902954938866
7.800000000000001,0.5,27.693038362381277
7.8500000000000005,0.5,27.98087420196834
7.9,0.5,28.143688601561
7.95,0.5,28.43024212301661
8.0,0.5,28.593274529071852
8.05,0.5,28.879448670863958
8.1,0.5,29.043066440191406
8.15,0.5,29.32935043886646
8.200000000000001,0.5,29.4938471118975
8.25,0.5,29.78048129436047
8.3,0.5,29.946083464495526
8.35,0.5,30.233194859967917
8.4,0.5,30.400074189747347
8.450000000000001,0.5,30.68774862910989
8.5,0.5,30.85591198427428
8.55,0.5,31.14374777873078
8.6,0.5,31.312474178931517
8.65,0.5,31.599746913835126
8.700000000000001,0.5,31.768438975353057
8.75,0.5,32.05474009585676
8.8,0.5,32.223061361664584
8.85,0.5,32.50818487385568
8.9,0.5,32.67593278294527
8.950000000000001,0.5,32.9597516573425
9.0,0.5,33.1268232122698
9.05,0.5,33.40926191708079
9.1,0.5,33.57560905349735
9.15,0.5,33.85661609194696
9.200000000000001,0.5,34.022207910589
9.25,0.5,34.301766114968686
9.3,0.5,34.46658544974008
9.35,0.5,34.744674221420574
9.4,0.5,34.908717639336174
9.450000000000001,0.5,35.18533011201082
9.5,0.5,35.34859761287063
9.55,0.5,35.623723487158856
9.600000000000001,0.5,35.78621163802873
9.65,0.5,36.059847479913806
9.700000000000001,0.5,36.22156314729306
9.75,0.5,36.493702091106634
9.8,0.5,36.65464527543463
9.850000000000001,0.5,36.925294187640766
9.9,0.5,37.08546832163255
9.950000000000001,0.5,37.35462376933181
